# alpha	Theta	A3,663	A4,950	A6,190
180	180	0,373	0,539	-0,303
170	172,933425610738	0,356	0,528	-0,279
160	165,893955739434	0,331	0,474	-0,211
150	158,909418821001	0,295	0,375	-0,103
140	152,009109282217	0,243	0,244	0,011
130	145,224563330281	0,189	0,091	0,103
120	138,590377890729	0,138	-0,052	0,169
110	132,145070558482	0,031	-0,151	0,187
100	125,93195832035	0,031	-0,225	0,169
90	120	0,042	-0,259	0,117
80	114,404497337886	0,078	-0,269	0,046
70	109,207479725344	-0,128	-0,236	0,029
60	104,47751218593	-0,105	-0,185	-0,071
50	100,288585136763	-0,182	-0,119	-0,091
40	96,7177134641804	-0,167	-0,055	-0,085
30	93,8409657162581	-0,189	-0,099	-0,065
20	91,7279410723505	-0,202	-0,069	-0,040
10	90,4352300024699	-0,205	-0,099	-0,030
0	90	-0,210	-0,112	0,032
